subject	condition	target	block	time
shu122	thirtysix	./icons/dialog-information.png.gif	9	0.91
shu122	thirtysix	./icons/battery.png.gif	9	1.06
ash313	four	./icons/utilities-terminal.png.gif	0	8.77
ash313	four	./icons/applications-accessories.png.gif	0	5.03
ash313	four	./icons/system-users.png.gif	0	6.22
ash313	four	./icons/office-calendar.png.gif	0	7.66
ash313	four	./icons/accessories-calculator.png.gif	0	10.25
ash313	four	./icons/utilities-terminal.png.gif	1	8.53
ash313	four	./icons/applications-accessories.png.gif	1	5.58
ash313	four	./icons/accessories-calculator.png.gif	1	8.47
ash313	four	./icons/office-calendar.png.gif	1	7.44
ash313	four	./icons/system-users.png.gif	1	8.88
ash313	four	./icons/utilities-terminal.png.gif	2	7.92
ash313	four	./icons/accessories-calculator.png.gif	2	10.08
ash313	four	./icons/system-users.png.gif	2	11.35
ash313	four	./icons/applications-accessories.png.gif	2	5.21
ash313	four	./icons/office-calendar.png.gif	2	11.57
ash313	four	./icons/utilities-terminal.png.gif	3	12.94
ash313	four	./icons/office-calendar.png.gif	3	7.55
ash313	four	./icons/applications-accessories.png.gif	3	5.23
ash313	four	./icons/system-users.png.gif	3	8.21
ash313	four	./icons/accessories-calculator.png.gif	3	9.43
ash313	four	./icons/office-calendar.png.gif	4	11.87
ash313	four	./icons/utilities-terminal.png.gif	4	14.5
ash313	four	./icons/accessories-calculator.png.gif	4	16.23
ash313	four	./icons/applications-accessories.png.gif	4	5.32
ash313	four	./icons/system-users.png.gif	4	8.93
ash313	four	./icons/accessories-calculator.png.gif	5	13.75
ash313	four	./icons/applications-accessories.png.gif	5	4.8
ash313	four	./icons/system-users.png.gif	5	8.79
ash313	four	./icons/utilities-terminal.png.gif	5	13.67
ash313	four	./icons/office-calendar.png.gif	5	16.6
ash313	four	./icons/system-users.png.gif	6	6.75
ash313	four	./icons/accessories-calculator.png.gif	6	8.19
ash313	four	./icons/office-calendar.png.gif	6	5.59
ash313	four	./icons/utilities-terminal.png.gif	6	12.45
ash313	four	./icons/applications-accessories.png.gif	6	4.08
ash313	four	./icons/accessories-calculator.png.gif	7	7.75
ash313	four	./icons/applications-accessories.png.gif	7	3.98
ash313	four	./icons/system-users.png.gif	7	20.65
ash313	four	./icons/utilities-terminal.png.gif	7	8.39
ash313	four	./icons/office-calendar.png.gif	7	5.79
ash313	four	./icons/system-users.png.gif	8	8.17
ash313	four	./icons/office-calendar.png.gif	8	6.11
ash313	four	./icons/applications-accessories.png.gif	8	5.99
ash313	four	./icons/utilities-terminal.png.gif	8	4.73
ash313	four	./icons/accessories-calculator.png.gif	8	6.78
ash313	four	./icons/accessories-calculator.png.gif	9	7.32
ash313	four	./icons/office-calendar.png.gif	9	7.73
ash313	four	./icons/applications-accessories.png.gif	9	4.17
ash313	four	./icons/system-users.png.gif	9	10.1
ash313	four	./icons/utilities-terminal.png.gif	9	5.69
ash313	nine	./icons/accessories-text-editor.png.gif	0	1.06
ash313	nine	./icons/applications-multimedia.png.gif	0	2.76
ash313	nine	./icons/internet-web-browser.png.gif	0	1.27
ash313	nine	./icons/office-calendar.png.gif	0	4.88
ash313	nine	./icons/dialog-information.png.gif	0	1.06
ash313	nine	./icons/applications-multimedia.png.gif	1	2.21
ash313	nine	./icons/dialog-information.png.gif	1	1.43
ash313	nine	./icons/internet-web-browser.png.gif	1	0.69
ash313	nine	./icons/accessories-text-editor.png.gif	1	0.84
ash313	nine	./icons/office-calendar.png.gif	1	3.8
ash313	nine	./icons/internet-web-browser.png.gif	2	1.05
ash313	nine	./icons/accessories-text-editor.png.gif	2	0.98
ash313	nine	./icons/applications-multimedia.png.gif	2	2.18
ash313	nine	./icons/office-calendar.png.gif	2	3.67
ash313	nine	./icons/dialog-information.png.gif	2	0.79
ash313	nine	./icons/applications-multimedia.png.gif	3	1.79
ash313	nine	./icons/dialog-information.png.gif	3	0.96
ash313	nine	./icons/internet-web-browser.png.gif	3	0.6
ash313	nine	./icons/office-calendar.png.gif	3	3.64
ash313	nine	./icons/accessories-text-editor.png.gif	3	1.27
ash313	nine	./icons/office-calendar.png.gif	4	3.32
ash313	nine	./icons/applications-multimedia.png.gif	4	5.89
ash313	nine	./icons/dialog-information.png.gif	4	1.46
ash313	nine	./icons/internet-web-browser.png.gif	4	0.9
ash313	nine	./icons/accessories-text-editor.png.gif	4	2.23
ash313	nine	./icons/internet-web-browser.png.gif	5	1.11
ash313	nine	./icons/dialog-information.png.gif	5	1.02
ash313	nine	./icons/accessories-text-editor.png.gif	5	1.67
ash313	nine	./icons/applications-multimedia.png.gif	5	1.97
ash313	nine	./icons/office-calendar.png.gif	5	7.19
ash313	nine	./icons/accessories-text-editor.png.gif	6	1.03
ash313	nine	./icons/applications-multimedia.png.gif	6	1.88
ash313	nine	./icons/dialog-information.png.gif	6	0.82
ash313	nine	./icons/internet-web-browser.png.gif	6	0.56
ash313	nine	./icons/office-calendar.png.gif	6	3.32
ash313	nine	./icons/accessories-text-editor.png.gif	7	0.87
ash313	nine	./icons/internet-web-browser.png.gif	7	0.77
ash313	nine	./icons/applications-multimedia.png.gif	7	1.48
ash313	nine	./icons/office-calendar.png.gif	7	3.11
ash313	nine	./icons/dialog-information.png.gif	7	0.54
ash313	nine	./icons/dialog-information.png.gif	8	1.01
ash313	nine	./icons/accessories-text-editor.png.gif	8	1.03
ash313	nine	./icons/internet-web-browser.png.gif	8	0.8
ash313	nine	./icons/office-calendar.png.gif	8	3.19
ash313	nine	./icons/applications-multimedia.png.gif	8	2.48
ash313	nine	./icons/dialog-information.png.gif	9	0.69
ash313	nine	./icons/accessories-text-editor.png.gif	9	1.07
ash313	nine	./icons/internet-web-browser.png.gif	9	0.92
ash313	nine	./icons/applications-multimedia.png.gif	9	1.69
ash313	nine	./icons/office-calendar.png.gif	9	2.79
ash313	thirtysix	./icons/accessories-text-editor.png.gif	0	1.3
ash313	thirtysix	./icons/camera-photo.png.gif	0	1.93
ash313	thirtysix	./icons/audio-volume-high.png.gif	0	2.59
ash313	thirtysix	./icons/battery.png.gif	0	1.25
ash313	thirtysix	./icons/address-book-new.png.gif	0	1.57
ash313	thirtysix	./icons/battery.png.gif	1	0.92
ash313	thirtysix	./icons/camera-photo.png.gif	1	1.47
ash313	thirtysix	./icons/accessories-text-editor.png.gif	1	1.16
ash313	thirtysix	./icons/audio-volume-high.png.gif	1	1.26
ash313	thirtysix	./icons/address-book-new.png.gif	1	1.2
ash313	thirtysix	./icons/audio-volume-high.png.gif	2	1.31
ash313	thirtysix	./icons/accessories-text-editor.png.gif	2	1.52
ash313	thirtysix	./icons/address-book-new.png.gif	2	1.04
ash313	thirtysix	./icons/battery.png.gif	2	1.91
ash313	thirtysix	./icons/camera-photo.png.gif	2	1.18
ash313	thirtysix	./icons/audio-volume-high.png.gif	3	1.47
ash313	thirtysix	./icons/address-book-new.png.gif	3	1.47
ash313	thirtysix	./icons/battery.png.gif	3	1
ash313	thirtysix	./icons/camera-photo.png.gif	3	1.08
ash313	thirtysix	./icons/accessories-text-editor.png.gif	3	1.27
ash313	thirtysix	./icons/camera-photo.png.gif	4	1.09
ash313	thirtysix	./icons/battery.png.gif	4	1.23
ash313	thirtysix	./icons/audio-volume-high.png.gif	4	0.95
ash313	thirtysix	./icons/accessories-text-editor.png.gif	4	1
ash313	thirtysix	./icons/address-book-new.png.gif	4	1.12
ash313	thirtysix	./icons/battery.png.gif	5	4.18
ash313	thirtysix	./icons/address-book-new.png.gif	5	1.43
ash313	thirtysix	./icons/camera-photo.png.gif	5	1.08
ash313	thirtysix	./icons/audio-volume-high.png.gif	5	1.36
ash313	thirtysix	./icons/accessories-text-editor.png.gif	5	1.05
ash313	thirtysix	./icons/address-book-new.png.gif	6	1.01
ash313	thirtysix	./icons/audio-volume-high.png.gif	6	1.39
ash313	thirtysix	./icons/accessories-text-editor.png.gif	6	1.11
ash313	thirtysix	./icons/battery.png.gif	6	0.94
ash313	thirtysix	./icons/camera-photo.png.gif	6	1.1
ash313	thirtysix	./icons/battery.png.gif	7	1.06
ash313	thirtysix	./icons/address-book-new.png.gif	7	1.11
ash313	thirtysix	./icons/accessories-text-editor.png.gif	7	1.04
ash313	thirtysix	./icons/audio-volume-high.png.gif	7	1.02
ash313	thirtysix	./icons/camera-photo.png.gif	7	1.1
ash313	thirtysix	./icons/accessories-text-editor.png.gif	8	1.23
ash313	thirtysix	./icons/audio-volume-high.png.gif	8	1.18
ash313	thirtysix	./icons/camera-photo.png.gif	8	0.99
ash313	thirtysix	./icons/address-book-new.png.gif	8	0.86
ash313	thirtysix	./icons/battery.png.gif	8	1.05
ash313	thirtysix	./icons/audio-volume-high.png.gif	9	1.31
ash313	thirtysix	./icons/battery.png.gif	9	0.91
ash313	thirtysix	./icons/address-book-new.png.gif	9	1.07
ash313	thirtysix	./icons/camera-photo.png.gif	9	0.75
ash313	thirtysix	./icons/accessories-text-editor.png.gif	9	1.07
dgo65	four	./icons/bookmark-new.png.gif	0	3.79
dgo65	four	./icons/computer.png.gif	0	6.36
dgo65	four	./icons/dialog-information.png.gif	0	7.37
dgo65	four	./icons/applications-graphics.png.gif	0	5.09
dgo65	four	./icons/network-wireless-encrypted.png.gif	0	6.06
dgo65	four	./icons/dialog-information.png.gif	1	5.77
dgo65	four	./icons/applications-graphics.png.gif	1	5.71
dgo65	four	./icons/network-wireless-encrypted.png.gif	1	5.86
dgo65	four	./icons/bookmark-new.png.gif	1	4.67
dgo65	four	./icons/computer.png.gif	1	4.3
dgo65	four	./icons/network-wireless-encrypted.png.gif	2	6.59
dgo65	four	./icons/bookmark-new.png.gif	2	3.14
dgo65	four	./icons/computer.png.gif	2	3.22
dgo65	four	./icons/dialog-information.png.gif	2	7.92
dgo65	four	./icons/applications-graphics.png.gif	2	5.19
dgo65	four	./icons/network-wireless-encrypted.png.gif	3	6.55
dgo65	four	./icons/dialog-information.png.gif	3	6.35
dgo65	four	./icons/applications-graphics.png.gif	3	3.59
dgo65	four	./icons/computer.png.gif	3	3.84
dgo65	four	./icons/bookmark-new.png.gif	3	5.51
dgo65	four	./icons/network-wireless-encrypted.png.gif	4	5.31
dgo65	four	./icons/bookmark-new.png.gif	4	3.93
dgo65	four	./icons/computer.png.gif	4	3.9
dgo65	four	./icons/dialog-information.png.gif	4	7.52
dgo65	four	./icons/applications-graphics.png.gif	4	4.15
dgo65	four	./icons/network-wireless-encrypted.png.gif	5	5.26
dgo65	four	./icons/bookmark-new.png.gif	5	10.74
dgo65	four	./icons/applications-graphics.png.gif	5	3.49
dgo65	four	./icons/computer.png.gif	5	3.45
dgo65	four	./icons/dialog-information.png.gif	5	5.83
dgo65	four	./icons/network-wireless-encrypted.png.gif	6	6.71
dgo65	four	./icons/computer.png.gif	6	3.55
dgo65	four	./icons/bookmark-new.png.gif	6	2.96
dgo65	four	./icons/applications-graphics.png.gif	6	2.66
dgo65	four	./icons/dialog-information.png.gif	6	5.73
dgo65	four	./icons/network-wireless-encrypted.png.gif	7	5.89
dgo65	four	./icons/computer.png.gif	7	4.14
dgo65	four	./icons/applications-graphics.png.gif	7	12.09
dgo65	four	./icons/dialog-information.png.gif	7	7.84
dgo65	four	./icons/bookmark-new.png.gif	7	5.36
dgo65	four	./icons/network-wireless-encrypted.png.gif	8	7.69
dgo65	four	./icons/bookmark-new.png.gif	8	4.15
dgo65	four	./icons/dialog-information.png.gif	8	5.77
dgo65	four	./icons/computer.png.gif	8	3.06
dgo65	four	./icons/applications-graphics.png.gif	8	3.88
dgo65	four	./icons/bookmark-new.png.gif	9	2.52
dgo65	four	./icons/applications-graphics.png.gif	9	2.62
dgo65	four	./icons/computer.png.gif	9	3.26
dgo65	four	./icons/network-wireless-encrypted.png.gif	9	5.39
dgo65	four	./icons/dialog-information.png.gif	9	7.74
dgo65	nine	./icons/applications-games.png.gif	0	3.41
dgo65	nine	./icons/weather-showers-scattered.png.gif	0	0.71
dgo65	nine	./icons/applications-graphics.png.gif	0	6.6
dgo65	nine	./icons/user-trash.png.gif	0	4.71
dgo65	nine	./icons/internet-group-chat.png.gif	0	1.87
dgo65	nine	./icons/internet-group-chat.png.gif	1	3.64
dgo65	nine	./icons/applications-games.png.gif	1	2.58
dgo65	nine	./icons/applications-graphics.png.gif	1	6.86
dgo65	nine	./icons/user-trash.png.gif	1	4.82
dgo65	nine	./icons/weather-showers-scattered.png.gif	1	0.77
dgo65	nine	./icons/applications-graphics.png.gif	2	7.79
dgo65	nine	./icons/user-trash.png.gif	2	5.25
dgo65	nine	./icons/internet-group-chat.png.gif	2	2.36
dgo65	nine	./icons/weather-showers-scattered.png.gif	2	0.81
dgo65	nine	./icons/applications-games.png.gif	2	3.12
dgo65	nine	./icons/weather-showers-scattered.png.gif	3	0.8
dgo65	nine	./icons/user-trash.png.gif	3	3.41
dgo65	nine	./icons/applications-graphics.png.gif	3	5.52
dgo65	nine	./icons/applications-games.png.gif	3	2.79
dgo65	nine	./icons/internet-group-chat.png.gif	3	1.44
dgo65	nine	./icons/applications-games.png.gif	4	3.38
dgo65	nine	./icons/applications-graphics.png.gif	4	4.79
dgo65	nine	./icons/user-trash.png.gif	4	2.86
dgo65	nine	./icons/internet-group-chat.png.gif	4	1.23
dgo65	nine	./icons/weather-showers-scattered.png.gif	4	0.71
dgo65	nine	./icons/applications-games.png.gif	5	3.6
dgo65	nine	./icons/applications-graphics.png.gif	5	10.49
dgo65	nine	./icons/user-trash.png.gif	5	4.96
dgo65	nine	./icons/weather-showers-scattered.png.gif	5	0.88
dgo65	nine	./icons/internet-group-chat.png.gif	5	1.18
dgo65	nine	./icons/weather-showers-scattered.png.gif	6	0.65
dgo65	nine	./icons/internet-group-chat.png.gif	6	1.21
dgo65	nine	./icons/applications-graphics.png.gif	6	1.88
dgo65	nine	./icons/user-trash.png.gif	6	2.32
dgo65	nine	./icons/applications-games.png.gif	6	3.74
dgo65	nine	./icons/applications-graphics.png.gif	7	6.53
dgo65	nine	./icons/internet-group-chat.png.gif	7	1.14
dgo65	nine	./icons/user-trash.png.gif	7	2.38
dgo65	nine	./icons/weather-showers-scattered.png.gif	7	0.71
dgo65	nine	./icons/applications-games.png.gif	7	2.44
dgo65	nine	./icons/applications-games.png.gif	8	2.81
dgo65	nine	./icons/applications-graphics.png.gif	8	6.03
dgo65	nine	./icons/internet-group-chat.png.gif	8	1.36
dgo65	nine	./icons/user-trash.png.gif	8	2.62
dgo65	nine	./icons/weather-showers-scattered.png.gif	8	0.95
dgo65	nine	./icons/internet-group-chat.png.gif	9	1.53
dgo65	nine	./icons/applications-games.png.gif	9	3.18
dgo65	nine	./icons/user-trash.png.gif	9	3.09
dgo65	nine	./icons/weather-showers-scattered.png.gif	9	0.82
dgo65	nine	./icons/applications-graphics.png.gif	9	3.2
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	0	2.13
dgo65	thirtysix	./icons/applications-multimedia.png.gif	0	1.9
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	0	1.45
dgo65	thirtysix	./icons/applications-accessories.png.gif	0	1.12
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	0	1.64
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	1	0.49
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	1	2.04
dgo65	thirtysix	./icons/applications-accessories.png.gif	1	1.23
dgo65	thirtysix	./icons/applications-multimedia.png.gif	1	1.45
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	1	9.75
dgo65	thirtysix	./icons/applications-multimedia.png.gif	2	1.43
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	2	2.32
dgo65	thirtysix	./icons/applications-accessories.png.gif	2	1.22
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	2	2.2
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	2	1.28
dgo65	thirtysix	./icons/applications-accessories.png.gif	3	1.17
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	3	1.98
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	3	1.12
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	3	1.3
dgo65	thirtysix	./icons/applications-multimedia.png.gif	3	1.24
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	4	1.22
dgo65	thirtysix	./icons/applications-accessories.png.gif	4	1
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	4	1.58
dgo65	thirtysix	./icons/applications-multimedia.png.gif	4	1.25
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	4	1.49
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	5	1.03
dgo65	thirtysix	./icons/applications-accessories.png.gif	5	0.97
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	5	1.65
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	5	1.15
dgo65	thirtysix	./icons/applications-multimedia.png.gif	5	0.72
dgo65	thirtysix	./icons/applications-accessories.png.gif	6	1.04
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	6	1.01
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	6	0.89
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	6	1.13
dgo65	thirtysix	./icons/applications-multimedia.png.gif	6	1.22
dgo65	thirtysix	./icons/applications-accessories.png.gif	7	1.07
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	7	1.03
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	7	1.6
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	7	1.33
dgo65	thirtysix	./icons/applications-multimedia.png.gif	7	0.87
dgo65	thirtysix	./icons/applications-multimedia.png.gif	8	0.6
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	8	1.38
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	8	1.37
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	8	0.83
dgo65	thirtysix	./icons/applications-accessories.png.gif	8	0.71
dgo65	thirtysix	./icons/audio-input-microphone.png.gif	9	0.89
dgo65	thirtysix	./icons/accessories-text-editor.png.gif	9	1.19
dgo65	thirtysix	./icons/applications-accessories.png.gif	9	1.04
dgo65	thirtysix	./icons/preferences-desktop-theme.png.gif	9	0.84
dgo65	thirtysix	./icons/applications-multimedia.png.gif	9	0.97
xhe37	four	./icons/audio-input-microphone.png.gif	0	12.96
xhe37	four	./icons/utilities-terminal.png.gif	0	3.84
xhe37	four	./icons/user-home.png.gif	0	9.35
xhe37	four	./icons/applications-multimedia.png.gif	0	2.11
xhe37	four	./icons/network-wireless.png.gif	0	8.83
xhe37	four	./icons/user-home.png.gif	1	4.96
xhe37	four	./icons/utilities-terminal.png.gif	1	1.73
xhe37	four	./icons/audio-input-microphone.png.gif	1	4.56
xhe37	four	./icons/network-wireless.png.gif	1	7.59
xhe37	four	./icons/applications-multimedia.png.gif	1	1.75
xhe37	four	./icons/applications-multimedia.png.gif	2	1.93
xhe37	four	./icons/audio-input-microphone.png.gif	2	4.11
xhe37	four	./icons/user-home.png.gif	2	4.32
xhe37	four	./icons/network-wireless.png.gif	2	7.07
xhe37	four	./icons/utilities-terminal.png.gif	2	1.62
xhe37	four	./icons/network-wireless.png.gif	3	8.32
xhe37	four	./icons/utilities-terminal.png.gif	3	1.53
xhe37	four	./icons/user-home.png.gif	3	5.07
xhe37	four	./icons/audio-input-microphone.png.gif	3	3.36
xhe37	four	./icons/applications-multimedia.png.gif	3	1.62
xhe37	four	./icons/utilities-terminal.png.gif	4	2.25
xhe37	four	./icons/applications-multimedia.png.gif	4	1.47
xhe37	four	./icons/network-wireless.png.gif	4	8.5
xhe37	four	./icons/audio-input-microphone.png.gif	4	4.5
xhe37	four	./icons/user-home.png.gif	4	4.38
xhe37	four	./icons/applications-multimedia.png.gif	5	1.51
xhe37	four	./icons/utilities-terminal.png.gif	5	1.63
xhe37	four	./icons/network-wireless.png.gif	5	6.09
xhe37	four	./icons/audio-input-microphone.png.gif	5	3.69
